persistent_identifier,dataset_type,title,contact_owner,contact_originator,contact_metadata,contact_PointOfContact,contact_PrincipalInvestigator,contact_publisher,contact_processor,contact_data_structure_definition,subject,description,date_publication,date_download,format,langage,relation_source_download,relation_source_dataset,rights,source,lineage,supplemental_information,database_table_name,database_view_name,path_to_dataset,path_to_parameterization_file_to_generate_dataset,path_to_codelists_used_in_dataset
gear_ccsbt,codelist,Code list for fising gears used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for units of efforts used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-04-13,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for fising gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Tuna atlas database",,gear.gear_ccsbt,NA,http://data.d4science.org/WW5QNzlkUk0wbTVoTmppdjlsK0l0aEV0cUY5RUJzTS9HbWJQNStIS0N6Yz0,NA,NA
gear_iattc,codelist,Code list for fishing gears used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets.,,2016-03-14,,,,,,IATTC,"step1: The code list of fishing gears released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdGearCodes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for fishing gears used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for fishing gears in these datasets were identified. A code list for gear was reconstitued.
step4: The code list was integrated into the Tuna atlas database",,gear.gear_iattc,NA,http://data.d4science.org/L2JtdFJxSDZEQVpoTmppdjlsK0l0Z3V0b1FpZkxjMzVHbWJQNStIS0N6Yz0,NA,NA
gear_iccat,codelist,Code list for gears used by ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-03-14,,,,,,ICCAT,"step1: The code list of gears released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for gears used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for gears in these datasets were identified. A code list for gears was reconstitued.
step4: The code list was integrated into the Tuna atlas database",,gear.gear_iccat,NA,http://data.d4science.org/THZPNWdSZ0VyUWxoTmppdjlsK0l0dXgrZ3YrMGliV0JHbWJQNStIS0N6Yz0,NA,NA
gear_iotc,codelist,Code list for gears used by IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for gears used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-03-14,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Tuna atlas database",,gear.gear_iotc,NA,http://data.d4science.org/dWdMRHlrdDRrWEZoTmppdjlsK0l0cmhUNG9DWFdMb3dHbWJQNStIS0N6Yz0,NA,NA
gear_wcpfc,codelist,Code list for fishing gears used by WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for fishing gears used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input various WCPFC public domain datasets.,,2016-03-14,,,,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for fishing gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Tuna atlas database",,gear.gear_wcpfc,NA,http://data.d4science.org/YStqemFVNUZObEJoTmppdjlsK0l0c3Y1akhFMnBNZHpHbWJQNStIS0N6Yz0,NA,NA
geargroup_iattc,codelist,Codes used for groups of gears in IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for groups of gears used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input both the code list available in the IATTC website and the IATTC public domain datasets. Since IATTC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.",,2016-05-13,,,,,,IATTC,"step1: The code list of fishing gears released by IATTC and available in the IATTC website at this url: http://www.iattc.org/Standard-Codes/StdGearCodes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for fishing gears used in the IATTC public domain datasets, the latter were collated.
step3: The codes and labels used for fishing gears in these datasets were identified. A code list for gears was reconstitued. Since IATTC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.
step4: The code list was integrated into the Tuna atlas database",,gear.geargroup_iattc,NA,http://data.d4science.org/eWthMS9FVkdwUXRoTmppdjlsK0l0cWtlV3M5TEtIVjZHbWJQNStIS0N6Yz0,NA,NA
geargroup_iccat,codelist,Codes used for groups of gears in ICCAT,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used by the International Commission for the Conservation of Atlantic Tunas (ICCAT). This code list was built using as input both the code list available in the ICCAT website and the ICCAT public domain datasets.,,2016-05-13,,,,,,ICCAT,"step1: The code list of gears released by ICCAT and available in the ICCAT website at this url: https://www.iccat.int/en/Stat_Codes.htm was downloaded.
step2: Since the codes in this code list does not englobe all the codes for groups of gears used in the ICCAT public domain datasets, the latter were collated.
step3: The codes and labels used for groups of gears in these datasets were identified. A code list for groups of gears was reconstitued.
step4: The code list was integrated into the Tuna atlas database",,gear.geargroup_iccat,NA,http://data.d4science.org/TmhhWjFrZUxlbEZoTmppdjlsK0l0a0tSQktwVU81RE5HbWJQNStIS0N6Yz0,NA,NA
geargroup_iotc,codelist,Codes used for groups of gears in IOTC,ird@ird.fr,paul.taconet@ird.fr;fabio.fiorellato@iotc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,secretariat@iotc.org,fabio.fiorellato@iotc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used by the Indian Ocean Tuna Commission (IOTC). This code list was built using as input various IOTC public domain datasets.,,2016-05-13,,,,,,IOTC,"step1: The IOTC public domain datasets were collated.
step2: The codes and labels used for groups of gears in these datasets were identified. A code list for gear was reconstitued.
step3: The code list was integrated into the Tuna atlas database",,gear.geargroup_iotc,NA,http://data.d4science.org/SXJraW5VVFMxOXRoTmppdjlsK0l0cUhwWmhtSGJaQTlHbWJQNStIS0N6Yz0,NA,NA
geargroup_tunaatlas,codelist,Code list for groups of gears used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for groups of gears used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-03-14,,,,,,IRD,"step1: The groups of gears were determined.
step2: The code list was integrated into the Tuna atlas database.",,gear.geargroup_tunaatlas,NA,http://data.d4science.org/SXdkQ005QjlZdTloTmppdjlsK0l0djFjRW9JZUo2a1VHbWJQNStIS0N6Yz0,NA,NA
geargroup_wcpfc,codelist,Codes used for groups of gears in WCPFC,ird@ird.fr,paul.taconet@ird.fr;PeterW@spc.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,wcpfc@wcpfc.int,PeterW@spc.int,ird@ird.fr,paul.taconet@ird.fr,,,"Code list for groups of gears used by the Western and Central Pacific Fisheries Commission (WCPFC). This code list was built using as input WCPFC public domain datasets. Since WCPFC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.",,2016-05-13,,,,,,WCPFC,"step1: The WCPFC public domain datasets were collated.
step2: The codes and labels used for fishing gears in these datasets were identified. A code list for gears was reconstitued. Since WCPFC does not use groups of gears, the code list used for groups of gears is the same as the one used for gears.
step3: The code list was integrated into the Tuna atlas database.",,gear.geargroup_wcpfc,NA,http://data.d4science.org/am1yYzljUjUyM1ZoTmppdjlsK0l0aFlMeitBRkFHc0FHbWJQNStIS0N6Yz0,NA,NA
iccat_stock_areas,codelist,ICCAT stock areas,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"The stock areas of the International Commission for the Conservation of Atlantic Tunas (ICCAT). In absence of information regarding the geospatial component for these areas, the whole ICCAT area of competence was set for all the codes of this code list.
Additional informations can be found here: https://www.iccat.int/Data/ICCAT_maps.pdf",,2017-04-05,,,,,,ICCAT,"step1: The ICCAT task 1 public domain dataset was downloaded on the ICCAT website.
step2: The codes and labels used for sampling areas in these datasets were identified. A code list for stock areas was reconstitued.
step3: The geographical component of this code list was added. In absence of information regarding the geospatial component for these areas, the whole ICCAT area of competence was set for all the codes of this code list.
step4: The code list was integrated into the Tuna atlas database.
",,area.iccat_stock_areas,NA,http://data.d4science.org/d09leksyNjA5UDFoTmppdjlsK0l0dGI2QkNsSXQ2ZFBHbWJQNStIS0N6Yz0,NA,NA
isscfg_revision_1,codelist,International Standard Classification of Fishing Gears (ISSCFG Rev.1),FAO-HQ@fao.org,luca.garibaldi@fao.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,,CWP-Secretariat@fao.org,CWP-Secretariat@fao.org,paul.taconet@ird.fr,,,"The International Standard Statistical Classification of Fishing Gear (ISSCFG) was originally adopted during the 10th Session of the CWP (Madrid, 22-29 July 1980). The revised Classification - ISSCFG Revision 1 (Annex M II) - has been endorsed and adopted for CWP Member's implementation by the CWP at its 25th Session (Rome, 23-26 February 2016).",,2017-03-20,,,http://www.fao.org/fishery/cwp/handbook/M/en,,,FAO,"step1: The code list was downloaded on the 2017-03-20 at this url: ftp://ftp.fao.org/FI/DOCUMENT/cwp/handbook/annex/AnnexM2fishinggear.pdf reached through this web page: http://www.fao.org/fishery/cwp/handbook/M/en 
step2: The code list was transformed in CSV format.
step3: The code list was integrated into the Tuna atlas database.",,gear.isscfg_revision_1,NA,http://data.d4science.org/a2p3anRRTGd4czFoTmppdjlsK0l0aXBLU1hSMElyNjdHbWJQNStIS0N6Yz0,NA,NA
source_authority,codelist,Code list for RFMOs names used in the IRD Tuna Atlas,ird@ird.fr,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,paul.taconet@ird.fr,emmanuel.chassot@ird.fr,ird@ird.fr,paul.taconet@ird.fr,,,Code list for tuna Regional Fisheries Management Organisations used in the French National Research Institute for Sustainable Development (IRD) global Tuna Atlas.,,2016-01-01,,,,,,IRD,step1: The code list was created on the Tuna atlas database.,,source.source_authority,NA,http://data.d4science.org/M3QwU3o1bVhXUE5rd05NNWIrSFpaT2NHMHlybFBNOWVHbWJQNStIS0N6Yz0,NA,NA
rfmos_convention_areas_fao,codelist,Tuna RFMOs geographic areas of competence,FAO-HQ@fao.org,paul.taconet@ird.fr,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,emmanuel.blondel@fao.org,FAO-HQ@fao.org,FAO-HQ@fao.org,paul.taconet@ird.fr,,,The Tuna Regional Fisheries Management Organizations geographic areas of competence.,,2016-04-06,,,,,,FAO,"step1: The geographical dataset was provided by the Food and Agriculture Organization of the United Nations (FAO) 
step2: The code list was integrated into the Tuna atlas database.",,area.rfmos_convention_areas_fao,NA,http://data.d4science.org/bWJlcTRQcDZEVzVoTmppdjlsK0l0cFhjZzFJZy9NY3pHbWJQNStIS0N6Yz0,NA,NA
sampling_areas_iccat,codelist,ICCAT sampling areas,ird@ird.fr,paul.taconet@ird.fr;carlos.palma@iccat.int,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iccat.int,carlos.palma@iccat.int,ird@ird.fr,paul.taconet@ird.fr,,,"The sampling areas of the International Commission for the Conservation of Atlantic Tunas (ICCAT). Under revision in 2016.
Additional informations can be found here: https://www.iccat.int/Data/ICCAT_maps.pdf",,2016-03-28,,,http://www.iccat.int/Data/ICCAT_maps.pdf,,,ICCAT,"step1: The ICCAT task 1 public domain dataset was downloaded on the ICCAT website.
step2: The codes and labels used for sampling areas in these datasets were identified. A code list for sampling areas was reconstitued.
step3: The geographical component of this code list was added for a sample of the codes only. In absence of information regarding the geospatial component for the other codes, the whole ICCAT area of competence was set.
step4: The code list was integrated into the Tuna atlas database.
",,area.sampling_areas_iccat,NA,http://data.d4science.org/WS9sZyt5VU40UXhrd05NNWIrSFpaRWR0bkNxdUN3QjdHbWJQNStIS0N6Yz0,NA,NA
schooltype_ccsbt,codelist,Code list for types of schools used by CCSBT,ird@ird.fr,paul.taconet@ird.fr;CMillar@ccsbt.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,CMillar@ccsbt.org,CMillar@ccsbt.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the Commission for the Conservation of Southern Bluefin Tuna (CCSBT). This code list was built using as input various CCSBT public domain datasets.,,2017-05-09,,,,,,CCSBT,"step1: The CCSBT public domain datasets were collated.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of schools was reconstitued.
step3: The code list was integrated into the Tuna atlas database",,schooltype.schooltype_ccsbt,NA,http://data.d4science.org/SW9sOEN4WjNwcmhoTmppdjlsK0l0cDQzTnRLZ0NEdHhHbWJQNStIS0N6Yz0,NA,NA
schooltype_iattc,codelist,Code list for types of schools used by IATTC,ird@ird.fr,paul.taconet@ird.fr;nvogel@iattc.org,paul.taconet@ird.fr;julien.barde@ird.fr;emmanuel.blondel@ird.fr,info@iattc.org,nvogel@iattc.org,ird@ird.fr,paul.taconet@ird.fr,,,Code list for types of schools used by the Inter-American Tropical Tuna Commission (IATTC). This code list was built using as input various IATTC public domain datasets.,,2017-03-01,,,,,,IATTC,"step1: The IATTC public domain catch-and-effort were downloaded.
step2: The codes and labels used for types of schools in these datasets were identified. A code list for types of school was reconstitued.
step3: The code list was integrated into the Tuna atlas database",,schooltype.schooltype_iattc,NA,http://data.d4science.org/bmt1ZXFRNDFwMGxoTmppdjlsK0l0cHpqeWVZMVdtRERHbWJQNStIS0N6Yz0,NA,NA
